Name,Club,Start Date,From,End Date,Until,adjustedStartDate
Julen Lopetegui,Wolves,14/11/2022 00:00,14-Nov-22,,,14/11/2022 00:00
Marco Silva,Fulham,01/07/2021 00:00,01-Jul-21,,,01/07/2021 00:00
Erik ten Hag,Man United,01/06/2022 00:00,01-Jun-22,,,01/06/2022 00:00
Gary O'Neil,Bournemouth,30/08/2022 00:00,30/08/2022 00:00,,,30/08/2022 00:00
Unai Emery,Aston Villa,01/11/2022 00:00,01-Nov-22,,,01/11/2022 00:00
Jesse Marsch,Leeds,28/02/2022 00:00,28-Feb-22,,,28/02/2022 00:00
Steve Cooper,Nott'm Forest,21/09/2021 00:00,21-Sep-21,,,21/09/2021 00:00
Frank Lampard,Everton,31/01/2022 00:00,31-Jan-22,,,31/01/2022 00:00
Roberto De Zerbi,Brighton,18/09/2022 00:00,18/09/2022 00:00,,,18/09/2022 00:00
Graham Potter,Chelsea,08/09/2022 00:00,08-Sep-22,,,08/09/2022 00:00
Nathan Jones,Southampton,10/11/2022 00:00,10-Nov-22,,,10/11/2022 00:00
Roy Hodgson,Watford,25/01/2022 00:00,25-Jan-22,22/05/2022 00:00,22-May-22,25/01/2022 00:00
Steve Davis,Wolves,03/10/2022 00:00,03-Oct-22,13/11/2022 00:00,13-Nov-22,03/10/2022 00:00
Scott Parker,Bournemouth,28/06/2021 00:00,28-Jun-21,30/08/2022 00:00,30-Aug-22,28/06/2021 00:00
Aaron Danks,Aston Villa,21/10/2022 00:00,21-Oct-22,31/10/2022 00:00,31-Oct-22,21/10/2022 00:00
Mike Jackson,Burnley,15/04/2022 00:00,15-Apr-22,22/05/2022 00:00,22-May-22,15/04/2022 00:00
Duncan Ferguson,Everton,18/01/2022 00:00,18-Jan-22,31/01/2022 00:00,31-Jan-22,18/01/2022 00:00
Rubén Sellés,Southampton,07/11/2022 00:00,07-Nov-22,10/11/2022 00:00,10-Nov-22,07/11/2022 00:00
Bruno Lage,Wolves,09/06/2021 00:00,09-Jun-21,02/10/2022 00:00,02-Oct-22,09/06/2021 00:00
Claudio Ranieri,Watford,04/10/2021 00:00,04-Oct-21,24/01/2022 00:00,24-Jan-22,04/10/2021 00:00
Steven Gerrard,Aston Villa,11/11/2021 00:00,11-Nov-21,20/10/2022 00:00,20-Oct-22,11/11/2021 00:00
Ralf Rangnick,Man United,03/12/2021 00:00,03-Dec-21,22/05/2022 00:00,22-May-22,03/12/2021 00:00
Dean Smith §,Norwich,15/11/2021 00:00,15-Nov-21,,,15/11/2021 00:00
